"Name","State","Notes","User","Tags","Created","Runtime","Sweep","model","sensor_config","C","gamma","kernel","max_depth","max_iter","multi_class","n_estimators","n_neighbors","random_state","solver","generalization_gap","test_accuracy","test_f1","train_accuracy","train_f1"
"knn_gyro_c02576","finished","-","","","2025-08-10T22:49:58.000Z","7","","knn","gyro","","","","","","","","7","","","0.2312586747445716","0.6912114014251781","0.690315422739743","0.9224700761697496","0.922348618794658"
"knn_gyro_5d99b7","finished","-","","","2025-08-10T22:49:52.000Z","5","","knn","gyro","","","","","","","","5","","","0.2559938123386206","0.6817102137767221","0.6819007448637328","0.9377040261153428","0.9376521939599876"
"knn_accel_3d9c9c","finished","-","","","2025-08-10T22:49:44.000Z","7","","knn","accel","","","","","","","","7","","","0.09160290264015014","0.8686800135731252","0.8673540318871792","0.9602829162132752","0.960105180780546"
"knn_accel_062517","finished","-","","","2025-08-10T22:49:38.000Z","6","","knn","accel","","","","","","","","5","","","0.1051931973386926","0.8632507634882932","0.8619296666629761","0.9684439608269858","0.9683528874979384"
"logistic_multinomial_fused_ea1eaa","finished","-","","","2025-08-10T22:49:34.000Z","4","","logistic_multinomial","fused","","","","","500","multinomial","","","42","lbfgs","0.03826820067104997","0.9579233118425518","0.9578254976423202","0.9961915125136016","0.9961915125136016"
"logistic_multinomial_fused_4d8fbb","finished","-","","","2025-08-10T22:49:26.000Z","7","","logistic_multinomial","fused","","","","","1000","multinomial","","","42","lbfgs","0.03826820067104997","0.9579233118425518","0.9578254976423202","0.9961915125136016","0.9961915125136016"
"logistic_multinomial_gyro_f011be","finished","-","","","2025-08-10T22:49:21.000Z","5","","logistic_multinomial","gyro","","","","","500","multinomial","","","42","lbfgs","0.06884082519875068","0.8140481845945029","0.8139203232081961","0.8828890097932536","0.8825209781792633"
"logistic_multinomial_gyro_e690ce","finished","-","","","2025-08-10T22:49:16.000Z","5","","logistic_multinomial","gyro","","","","","1000","multinomial","","","42","lbfgs","0.06884082519875068","0.8140481845945029","0.8139203232081961","0.8828890097932536","0.8825209781792633"
"logistic_multinomial_accel_4926be","finished","-","","","2025-08-10T22:49:12.000Z","4","","logistic_multinomial","accel","","","","","500","multinomial","","","42","lbfgs","0.06433780429222391","0.9039701391245334","0.9036322939613016","0.9683079434167572","0.968299935812478"
"logistic_multinomial_accel_3336c3","finished","-","","","2025-08-10T22:49:07.000Z","4","","logistic_multinomial","accel","","","","","1000","multinomial","","","42","lbfgs","0.06433780429222391","0.9039701391245334","0.9036322939613016","0.9683079434167572","0.968299935812478"
"logistic_ovr_fused_9abae4","finished","-","","","2025-08-10T22:49:03.000Z","4","","logistic_ovr","fused","","","","","500","ovr","","","42","","0.03310669303505942","0.9613165931455716","0.9611527862254028","0.9944232861806312","0.9944232159556634"
"logistic_ovr_fused_7c5bf1","finished","-","","","2025-08-10T22:48:58.000Z","4","","logistic_ovr","fused","","","","","1000","ovr","","","42","","0.03310669303505942","0.9613165931455716","0.9611527862254028","0.9944232861806312","0.9944232159556634"
"logistic_ovr_gyro_8b9c6d","finished","-","","","2025-08-10T22:48:54.000Z","4","","logistic_ovr","gyro","","","","","500","ovr","","","42","","0.05844050108315457","0.8164234815066169","0.8163247100866865","0.8748639825897715","0.8743217195874656"
"logistic_ovr_gyro_826381","finished","-","","","2025-08-10T22:48:50.000Z","4","","logistic_ovr","gyro","","","","","1000","ovr","","","42","","0.05844050108315457","0.8164234815066169","0.8163247100866865","0.8748639825897715","0.8743217195874656"
"logistic_ovr_accel_acbf8f","finished","-","","","2025-08-10T22:48:46.000Z","3","","logistic_ovr","accel","","","","","500","ovr","","","42","","0.057617104205490266","0.9097387173396676","0.909374730619192","0.9673558215451578","0.9673458396561"
"logistic_ovr_accel_fd0e20","finished","-","","","2025-08-10T22:48:34.000Z","11","","logistic_ovr","accel","","","","","1000","ovr","","","42","","0.057617104205490266","0.9097387173396676","0.909374730619192","0.9673558215451578","0.9673458396561"
